trabalhadora	trabalhador+A+F+SG
trabalhadorazinhas	trabalhador+A+DIM+F+PL
trabalhadorazinha	trabalhador+A+DIM+F+SG
trabalhadorazitas	trabalhador+A+DIM+F+PL
trabalhadorazita	trabalhador+A+DIM+F+SG
trabalhadores	trabalhador+A+M+PL
trabalhadorezinhos	trabalhador+A+DIM+M+PL
trabalhadorinhas	trabalhador+A+DIM+F+PL
trabalhadorinha	trabalhador+A+DIM+F+SG
trabalhador	trabalhador+A+M+SG
trabalhadorzinhos	trabalhador+A+DIM+M+PL
trabalhadorzinho	trabalhador+A+DIM+M+SG
trabalhadorzitos	trabalhador+A+DIM+M+PL
trabalhadorzito	trabalhador+A+DIM+M+SG
tristes	triste+A+PL
triste	triste+A+SG
tristezinhas	triste+A+DIM+F+PL
tristezinha	triste+A+DIM+F+SG
tristezinhos	triste+A+DIM+M+PL
tristezinho	triste+A+DIM+M+SG
tristinhas	triste+A+DIM+F+PL
tristinha	triste+A+DIM+F+SG
tristinhos	triste+A+DIM+M+PL
tristinho	triste+A+DIM+M+SG
tristíssimas	triste+A+SUPER+F+PL
tristíssima	triste+A+SUPER+F+SG
tristíssimos	triste+A+SUPER+M+PL
tristíssimo	triste+A+SUPER+M+SG
tristitas	triste+A+DIM+F+PL
tristita	triste+A+DIM+F+SG
tristitos	triste+A+DIM+M+PL
tristito	triste+A+DIM+M+SG
vermelhaças	vermelho+A+AUG+F+PL
vermelhaça	vermelho+A+AUG+F+SG
vermelhaçazinhas	vermelho+A+AUG+DIM+F+PL
vermelhaçazinha	vermelho+A+AUG+DIM+F+SG
vermelhacinhas	vermelho+A+AUG+DIM+F+PL
vermelhacinha	vermelho+A+AUG+DIM+F+SG
vermelhacinhos	vermelho+A+AUG+DIM+M+PL
vermelhacinho	vermelho+A+AUG+DIM+M+SG
vermelhaços	vermelho+A+AUG+M+PL
vermelhaço	vermelho+A+AUG+M+SG
vermelhaçozinhos	vermelho+A+AUG+DIM+M+PL
vermelhaçozinho	vermelho+A+AUG+DIM+M+SG
vermelhas	vermelho+A+F+PL
vermelha	vermelho+A+F+SG
vermelhazinhas	vermelho+A+DIM+F+PL
vermelhazinha	vermelho+A+DIM+F+SG
vermelhinhas	vermelho+A+DIM+F+PL
vermelhinha	vermelho+A+DIM+F+SG
vermelhinhos	vermelho+A+DIM+M+PL
vermelhinho	vermelho+A+DIM+M+SG
vermelhíssimas	vermelho+A+SUPER+F+PL
vermelhíssima	vermelho+A+SUPER+F+SG
vermelhíssimos	vermelho+A+SUPER+M+PL
vermelhíssimo	vermelho+A+SUPER+M+SG
vermelhitas	vermelho+A+DIM+F+PL
vermelhita	vermelho+A+DIM+F+SG
vermelhitos	vermelho+A+DIM+M+PL
vermelhito	vermelho+A+DIM+M+SG
vermelhos	vermelho+A+M+PL
vermelho	vermelho+A+M+SG
vermelhozinhos	vermelho+A+DIM+M+PL
vermelhozinho	vermelho+A+DIM+M+SG
